Date,Symbol,Open,High,Low,Close,Volume
2018-08-23,NADEP,597.0,597.0,597.0,597.0,10.0
2018-08-30,NADEP,626.0,650.0,626.0,650.0,30.0
2018-09-03,NADEP,663.0,663.0,663.0,663.0,10.0
2018-09-04,NADEP,676.0,689.0,676.0,689.0,20.0
2018-09-09,NADEP,702.0,702.0,702.0,702.0,10.0
2018-09-13,NADEP,716.0,716.0,716.0,716.0,10.0
2018-09-16,NADEP,730.0,730.0,730.0,730.0,10.0
2018-09-18,NADEP,766.0,766.0,766.0,766.0,10.0
2018-09-25,NADEP,781.0,796.0,781.0,796.0,20.0
2018-09-27,NADEP,811.0,827.0,811.0,827.0,20.0
2018-09-30,NADEP,843.0,843.0,843.0,843.0,10.0
2018-10-01,NADEP,859.0,927.0,859.0,927.0,60.0
2018-10-02,NADEP,945.0,1019.0,945.0,1019.0,110.0
2018-10-03,NADEP,1039.0,1120.0,1039.0,1120.0,270.0
2018-10-04,NADEP,1142.0,1232.0,1142.0,1232.0,120.0
2018-10-07,NADEP,1256.0,1355.0,1256.0,1355.0,380.0
2018-10-08,NADEP,1382.0,1490.0,1382.0,1490.0,2640.0
2018-10-09,NADEP,1519.0,1639.0,1519.0,1542.0,24470.0
2018-10-10,NADEP,1540.0,1540.0,1490.0,1493.0,5250.0
2018-10-11,NADEP,1464.0,1486.0,1440.0,1483.0,3040.0
2018-10-14,NADEP,1490.0,1550.0,1490.0,1550.0,3020.0
2018-10-15,NADEP,1552.0,1590.0,1520.0,1555.0,3630.0
2018-10-21,NADEP,1525.0,1540.0,1525.0,1532.0,1160.0
2018-10-22,NADEP,1530.0,1550.0,1529.0,1533.0,1480.0
2018-10-23,NADEP,1530.0,1533.0,1491.0,1496.0,3890.0
2018-10-24,NADEP,1496.0,1510.0,1480.0,1487.0,2630.0
2018-10-25,NADEP,1468.0,1510.0,1468.0,1485.0,1870.0
2018-10-28,NADEP,1490.0,1500.0,1460.0,1460.0,2710.0
2018-10-29,NADEP,1431.0,1460.0,1423.0,1450.0,1290.0
2018-10-30,NADEP,1450.0,1465.0,1426.0,1445.0,1600.0
2018-10-31,NADEP,1427.0,1445.0,1427.0,1436.0,770.0
2018-11-01,NADEP,1408.0,1448.0,1390.0,1420.0,1110.0
2018-11-04,NADEP,1392.0,1430.0,1392.0,1409.0,1500.0
2018-11-05,NADEP,1401.0,1509.0,1400.0,1480.0,1120.0
2018-11-14,NADEP,1407.0,1415.0,1381.0,1405.0,1080.0
2018-11-15,NADEP,1405.0,1416.0,1402.0,1402.0,1380.0
2018-11-18,NADEP,1405.0,1433.0,1390.0,1392.0,1430.0
2018-11-19,NADEP,1392.0,1395.0,1365.0,1370.0,1060.0
2018-11-20,NADEP,1373.0,1380.0,1350.0,1352.0,3450.0
2018-11-21,NADEP,1355.0,1360.0,1330.0,1352.0,3550.0
2018-11-22,NADEP,1352.0,1370.0,1350.0,1355.0,6155.0
2018-11-25,NADEP,1352.38,1352.38,716.0,730.0,1105.0
2018-11-26,NADEP,730.0,765.0,730.0,758.0,1620.0
2018-11-27,NADEP,758.0,765.0,744.0,755.0,2446.0
2018-11-28,NADEP,755.0,760.0,721.0,727.0,550.0
2018-11-29,NADEP,727.0,727.0,715.0,716.0,880.0
2018-12-02,NADEP,716.0,749.0,711.0,715.0,5075.0
2018-12-04,NADEP,715.0,729.0,685.0,685.0,3240.0
2018-12-06,NADEP,665.0,685.0,665.0,685.0,1300.0
2018-12-09,NADEP,685.0,703.0,685.0,700.0,850.0
2018-12-10,NADEP,700.0,740.0,700.0,726.0,1660.0
2018-12-11,NADEP,726.0,730.0,716.0,718.0,1020.0
2018-12-12,NADEP,718.0,720.0,705.0,720.0,190.0
2018-12-13,NADEP,720.0,734.0,720.0,726.0,1146.0
2018-12-16,NADEP,726.0,755.0,726.0,749.0,1550.0
2018-12-17,NADEP,749.0,775.0,742.0,774.0,1770.0
2018-12-18,NADEP,774.0,781.0,755.0,770.0,1700.0
2018-12-19,NADEP,770.0,770.0,749.0,755.0,460.0
2018-12-20,NADEP,755.0,778.0,742.0,752.0,1000.0
2018-12-23,NADEP,752.0,797.0,752.0,775.0,1420.0
2018-12-24,NADEP,775.0,780.0,760.0,762.0,640.0
2018-12-25,NADEP,762.0,765.0,755.0,760.0,740.0
2018-12-26,NADEP,760.0,790.0,750.0,790.0,2190.0
2018-12-27,NADEP,790.0,825.0,772.0,772.0,3921.0
2018-12-30,NADEP,772.0,810.0,772.0,792.0,1409.0
2018-12-31,NADEP,792.0,792.0,782.0,785.0,1760.0
2019-01-01,NADEP,785.0,790.0,770.0,782.0,500.0
2019-01-02,NADEP,782.0,798.0,770.0,786.0,1814.0
2019-01-03,NADEP,786.0,798.0,775.0,787.0,650.0
2019-01-06,NADEP,787.0,800.0,775.0,795.0,1365.0
2019-01-07,NADEP,795.0,795.0,781.0,795.0,310.0
2019-01-08,NADEP,795.0,795.0,780.0,795.0,525.0
2019-01-09,NADEP,795.0,801.0,795.0,798.0,1065.0
2019-01-10,NADEP,798.0,805.0,787.0,796.0,520.0
2019-01-13,NADEP,796.0,800.0,781.0,795.0,470.0
2019-01-14,NADEP,795.0,800.0,787.0,800.0,420.0
2019-01-15,NADEP,800.0,816.0,800.0,810.0,440.0
2019-01-16,NADEP,810.0,815.0,801.0,801.0,820.0
2019-01-17,NADEP,801.0,808.0,797.0,797.0,770.0
2019-01-20,NADEP,797.0,800.0,771.0,791.0,310.0
2019-01-21,NADEP,791.0,800.0,782.0,784.0,740.0
2019-01-22,NADEP,784.0,795.0,770.0,795.0,470.0
2019-01-23,NADEP,795.0,795.0,781.0,788.0,490.0
2019-01-24,NADEP,788.0,793.0,785.0,790.0,550.0
2019-01-27,NADEP,790.0,790.0,775.0,776.0,1410.0
2019-01-28,NADEP,776.0,790.0,767.0,777.0,300.0
2019-01-29,NADEP,777.0,793.0,764.0,782.0,1450.0
2019-01-30,NADEP,782.0,788.0,780.0,783.0,380.0
2019-01-31,NADEP,783.0,793.0,782.0,790.0,505.0
2019-02-03,NADEP,783.0,790.0,777.0,786.0,300.0
2019-02-04,NADEP,780.0,786.0,780.0,783.0,360.0
2019-02-05,NADEP,783.0,798.0,780.0,782.0,785.0
2019-02-06,NADEP,770.0,782.0,770.0,780.0,710.0
2019-02-07,NADEP,780.0,780.0,771.0,780.0,270.0
2019-02-10,NADEP,795.0,795.0,765.0,765.0,540.0
2019-02-11,NADEP,770.0,775.0,759.0,774.0,200.0
2019-02-12,NADEP,789.0,789.0,765.0,768.0,540.0
2019-02-13,NADEP,769.0,769.0,754.0,763.0,935.0
2019-02-14,NADEP,762.0,763.0,742.0,748.0,845.0
2019-02-17,NADEP,755.0,760.0,746.0,759.0,330.0
2019-02-18,NADEP,746.0,759.0,740.0,740.0,540.0
2019-02-19,NADEP,750.0,750.0,735.0,745.0,470.0
2019-02-20,NADEP,745.0,746.0,736.0,736.0,690.0
2019-02-21,NADEP,736.0,740.0,730.0,730.0,750.0
